occurrenceID	measurementType	measurementValue	measurmentUnit	measurementRemarks
SO_isotope:ULB-ACE_ASCCC_1126.6	Arm_length_R	0.045	m	
SO_isotope:ULB-ACE_ASCCC_0214.6	Arm_length_R	0.047	m	
SO_isotope:ULB-ACE_ASCCC_0214.7	Arm_length_R	0.088	m	
SO_isotope:ULB-ACE_ASCCC_0271.1	Arm_length_R	0.035	m	
SO_isotope:ULB-ACE_ASCCC_0671	Arm_length_R	0.052	m	
SO_isotope:ULB-ACE_ASCCC_1066.7	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_1126.7	Arm_length_R	0.052	m	
SO_isotope:ULB-ACE_ASCCC_1126.8	Arm_length_R	0.078	m	
SO_isotope:ULB-ACE_ASCCC_0515.3	Arm_length_R	0.205	m	
SO_isotope:ULB-ACE_ASCCC_0080.1	Arm_length_R	0.012	m	
SO_isotope:ULB-ACE_ASCCC_0272.1	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0369	Arm_length_R	0.056	m	
SO_isotope:ULB-ACE_ASCCC_0174	Arm_length_R	0.021	m	
SO_isotope:ULB-ACE_ASCCC_0469.1	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0469.2	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0480.1	Arm_length_R	0.09	m	
SO_isotope:ULB-ACE_ASCCC_0480.2	Arm_length_R	0.089	m	
SO_isotope:ULB-ACE_ASCCC_0480.3	Arm_length_R	0.08	m	
SO_isotope:ULB-ACE_ASCCC_0480.4	Arm_length_R	0.109	m	
SO_isotope:ULB-ACE_ASCCC_1066.3	Arm_length_R	0.099	m	
SO_isotope:ULB-ACE_ASCCC_1066.4	Arm_length_R	0.126	m	
SO_isotope:ULB-ACE_ASCCC_1066.5	Arm_length_R	0.089	m	
SO_isotope:ULB-ACE_ASCCC_1066.6	Arm_length_R	0.078	m	
SO_isotope:ULB-ACE_ASCCC_1126.2	Arm_length_R	0.108	m	
SO_isotope:ULB-ACE_ASCCC_1126.3	Arm_length_R	0.047	m	
SO_isotope:ULB-ACE_ASCCC_1126.4	Arm_length_R	0.073	m	
SO_isotope:ULB-ACE_ASCCC_1031.4	Arm_length_R	0.083	m	
SO_isotope:ULB-ACE_ASCCC_1031.5	Arm_length_R	0.079	m	
SO_isotope:ULB-ACE_ASCCC_1031.6	Arm_length_R	0.082	m	
SO_isotope:ULB-ACE_ASCCC_1157.3	Arm_length_R	0.015	m	
SO_isotope:ULB-ACE_ASCCC_0898	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_0935	Arm_length_R	0.013	m	
SO_isotope:ULB-ACE_ASCCC_0940.1	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0940.2	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_0963.1	Arm_length_R	0.012	m	
SO_isotope:ULB-ACE_ASCCC_0973	Arm_length_R	0.102	m	
SO_isotope:ULB-ACE_ASCCC_0997.1	Arm_length_R	0.004	m	
SO_isotope:ULB-ACE_ASCCC_0997.2	Arm_length_R	0.019	m	
SO_isotope:ULB-ACE_ASCCC_0997.3	Arm_length_R	0.018	m	
SO_isotope:ULB-ACE_ASCCC_1004.1	Arm_length_R	0.121	m	
SO_isotope:ULB-ACE_ASCCC_1004.2	Arm_length_R	0.092	m	
SO_isotope:ULB-ACE_ASCCC_1004.3	Arm_length_R	0.089	m	
SO_isotope:ULB-ACE_ASCCC_1004.4	Arm_length_R	0.07	m	
SO_isotope:ULB-ACE_ASCCC_1004.5	Arm_length_R	0.026	m	
SO_isotope:ULB-ACE_ASCCC_1004.6	Arm_length_R	0.093	m	
SO_isotope:ULB-ACE_ASCCC_1031.1	Arm_length_R	0.022	m	
SO_isotope:ULB-ACE_ASCCC_1083	Arm_length_R	0.023	m	
SO_isotope:ULB-ACE_ASCCC_1157.1	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_1157.2	Arm_length_R	0.01	m	
SO_isotope:ULB-ACE_ASCCC_0214.2	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0272.29	Arm_length_R	0.008	m	
SO_isotope:ULB-ACE_ASCCC_0272.30	Arm_length_R	0.021	m	
SO_isotope:ULB-ACE_ASCCC_0313.7	Arm_length_R	0.018	m	
SO_isotope:ULB-ACE_ASCCC_0975	Arm_length_R	0.069	m	
SO_isotope:ULB-ACE_ASCCC_1031.2	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_1126.5	Arm_length_R	0.029	m	
SO_isotope:ULB-ACE_ASCCC_1127.1	Arm_length_R	0.055	m	
SO_isotope:ULB-ACE_ASCCC_1127.2	Arm_length_R	0.067	m	
SO_isotope:ULB-ACE_ASCCC_1127.3	Arm_length_R	0.066	m	
SO_isotope:ULB-ACE_ASCCC_0786	Arm_length_R	0.019	m	
SO_isotope:ULB-ACE_ASCCC_0131	Arm_length_R	0.168	m	
SO_isotope:ULB-ACE_ASCCC_0813.1	Arm_length_R	0.152	m	
SO_isotope:ULB-ACE_ASCCC_0813.2	Arm_length_R	0.144	m	
SO_isotope:ULB-ACE_ASCCC_0854.1	Arm_length_R	0.239	m	
SO_isotope:ULB-ACE_ASCCC_0854.2	Arm_length_R	0.304	m	
SO_isotope:ULB-ACE_ASCCC_0854.3	Arm_length_R	0.355	m	
SO_isotope:ULB-ACE_ASCCC_087?.1	Arm_length_R	0.204	m	
SO_isotope:ULB-ACE_ASCCC_087?.2	Arm_length_R	0.077	m	
SO_isotope:ULB-ACE_ASCCC_087?.3	Arm_length_R	0.247	m	
SO_isotope:ULB-ACE_ASCCC_087?.4	Arm_length_R	0.246	m	
SO_isotope:ULB-ACE_ASCCC_0963.2	Arm_length_R	0.032	m	
SO_isotope:ULB-ACE_ASCCC_0963.3	Arm_length_R	0.035	m	
SO_isotope:ULB-ACE_ASCCC_0963.4	Arm_length_R	0.028	m	
SO_isotope:ULB-ACE_ASCCC_0919.1	Arm_length_R	0.104	m	
SO_isotope:ULB-ACE_ASCCC_0919.2	Arm_length_R	0.105	m	
SO_isotope:ULB-ACE_ASCCC_0919.3	Arm_length_R	0.361	m	
SO_isotope:ULB-ACE_ASCCC_0919.4	Arm_length_R	0.502	m	
SO_isotope:ULB-ACE_ASCCC_1066.1	Arm_length_R	0.134	m	
SO_isotope:ULB-ACE_ASCCC_1126.10	Arm_length_R	0.262	m	
SO_isotope:ULB-ACE_ASCCC_0272.2	Arm_length_R	0.038	m	
SO_isotope:ULB-ACE_ASCCC_0618.3	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_1126.9	Arm_length_R	0.061	m	
SO_isotope:ULB-ACE_ASCCC_0607.1	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_0834.1	Arm_length_R	0.014	m	
SO_isotope:ULB-ACE_ASCCC_0618.1	Arm_length_R	0.048	m	
SO_isotope:ULB-ACE_ASCCC_0618.2	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_0834.4	Arm_length_R	0.012	m	
SO_isotope:ULB-ACE_ASCCC_0887.10	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_0887.11	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_0887.12	Arm_length_R	0.01	m	
SO_isotope:ULB-ACE_ASCCC_0887.13	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0887.3	Arm_length_R	0.003	m	
SO_isotope:ULB-ACE_ASCCC_0887.4	Arm_length_R	0.019	m	
SO_isotope:ULB-ACE_ASCCC_0887.5	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_0887.6	Arm_length_R	0.015	m	
SO_isotope:ULB-ACE_ASCCC_0887.7	Arm_length_R	0.009	m	
SO_isotope:ULB-ACE_ASCCC_0887.8	Arm_length_R	0.013	m	
SO_isotope:ULB-ACE_ASCCC_0887.9	Arm_length_R	0.01	m	
SO_isotope:ULB-ACE_ASCCC_0997.4	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_1031.3	Arm_length_R	0.01	m	
SO_isotope:ULB-ACE_ASCCC_1157.4	Arm_length_R	0.005	m	
SO_isotope:ULB-ACE_ASCCC_0834.3	Arm_length_R	0.017	m	
SO_isotope:ULB-ACE_ASCCC_0076.1	Arm_length_R	0.012	m	
SO_isotope:ULB-ACE_ASCCC_0076.2	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_0080.4	Arm_length_R	0.006	m	
SO_isotope:ULB-ACE_ASCCC_0129.1	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0137.1	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0137.2	Arm_length_R	0.006	m	
SO_isotope:ULB-ACE_ASCCC_0214.3	Arm_length_R	0.026	m	
SO_isotope:ULB-ACE_ASCCC_0214.4	Arm_length_R	0.019	m	
SO_isotope:ULB-ACE_ASCCC_0214.5	Arm_length_R	0.004	m	
SO_isotope:ULB-ACE_ASCCC_0271.4	Arm_length_R	0.005	m	
SO_isotope:ULB-ACE_ASCCC_0271.5	Arm_length_R	0.004	m	
SO_isotope:ULB-ACE_ASCCC_0272.31	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_0272.32	Arm_length_R	0.005	m	
SO_isotope:ULB-ACE_ASCCC_0313.2	Arm_length_R	0.043	m	
SO_isotope:ULB-ACE_ASCCC_0313.3	Arm_length_R	0.01	m	
SO_isotope:ULB-ACE_ASCCC_0313.4	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0313.5	Arm_length_R	0.005	m	
SO_isotope:ULB-ACE_ASCCC_0313.6	Arm_length_R	0.005	m	
SO_isotope:ULB-ACE_ASCCC_0272.33	Arm_length_R	0.029	m	
SO_isotope:ULB-ACE_ASCCC_0272.34	Arm_length_R	0.03	m	
SO_isotope:ULB-ACE_ASCCC_0461	Arm_length_R	0.091	m	
SO_isotope:ULB-ACE_ASCCC_0515.1	Arm_length_R	0.141	m	
SO_isotope:ULB-ACE_ASCCC_0515.2	Arm_length_R	0.16	m	
SO_isotope:ULB-ACE_ASCCC_1004.7	Arm_length_R	0.136	m	
SO_isotope:ULB-ACE_ASCCC_1060	Arm_length_R	0.165	m	
SO_isotope:ULB-ACE_ASCCC_1066.2	Arm_length_R	0.084	m	
SO_isotope:ULB-ACE_ASCCC_1125.1	Arm_length_R	0.11	m	
SO_isotope:ULB-ACE_ASCCC_1125.2	Arm_length_R	0.113	m	
SO_isotope:ULB-ACE_ASCCC_1126.1	Arm_length_R	0.07	m	
SO_isotope:ULB-ACE_ASCCC_0272.28	Arm_length_R	0.034	m	
SO_isotope:ULB-ACE_ASCCC_0618.4	Arm_length_R	0.041	m	
SO_isotope:ULB-ACE_ASCCC_0834.2	Arm_length_R	0.008	m	
SO_isotope:ULB-ACE_ASCCC_0887.1	Arm_length_R	0.008	m	
SO_isotope:ULB-ACE_ASCCC_0887.2	Arm_length_R	0.005	m	
SO_isotope:ULB-ACE_ASCCC_0080.3	Arm_length_R	0.023	m	
SO_isotope:ULB-ACE_ASCCC_0313.12	Arm_length_R	0.029	m	
SO_isotope:ULB-ACE_ASCCC_0080.2	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_0129.2	Arm_length_R	0.02	m	
SO_isotope:ULB-ACE_ASCCC_0129.3	Arm_length_R	0.022	m	
SO_isotope:ULB-ACE_ASCCC_0145	Arm_length_R	0.011	m	
SO_isotope:ULB-ACE_ASCCC_0214.10	Arm_length_R	0.022	m	
SO_isotope:ULB-ACE_ASCCC_0214.11	Arm_length_R	0.032	m	
SO_isotope:ULB-ACE_ASCCC_0214.12	Arm_length_R	0.015	m	
SO_isotope:ULB-ACE_ASCCC_0214.13	Arm_length_R	0.01	m	
SO_isotope:ULB-ACE_ASCCC_0214.9	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_0271.10	Arm_length_R	0.026	m	
SO_isotope:ULB-ACE_ASCCC_0271.11	Arm_length_R	0.012	m	
SO_isotope:ULB-ACE_ASCCC_0271.12	Arm_length_R	0.031	m	
SO_isotope:ULB-ACE_ASCCC_0271.13	Arm_length_R	0.029	m	
SO_isotope:ULB-ACE_ASCCC_0271.14	Arm_length_R	0.021	m	
SO_isotope:ULB-ACE_ASCCC_0271.15	Arm_length_R	0.031	m	
SO_isotope:ULB-ACE_ASCCC_0271.16	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_0271.17	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_0271.18	Arm_length_R	0.028	m	
SO_isotope:ULB-ACE_ASCCC_0271.19	Arm_length_R	0.026	m	
SO_isotope:ULB-ACE_ASCCC_0271.2	Arm_length_R	0.03	m	
SO_isotope:ULB-ACE_ASCCC_0271.20	Arm_length_R	0.029	m	
SO_isotope:ULB-ACE_ASCCC_0271.21	Arm_length_R	0.02	m	
SO_isotope:ULB-ACE_ASCCC_0271.22	Arm_length_R	0.041	m	
SO_isotope:ULB-ACE_ASCCC_0271.23	Arm_length_R	0.03	m	
SO_isotope:ULB-ACE_ASCCC_0271.24	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_0271.25	Arm_length_R	0.02	m	
SO_isotope:ULB-ACE_ASCCC_0271.26	Arm_length_R	0.022	m	
SO_isotope:ULB-ACE_ASCCC_0271.27	Arm_length_R	0.018	m	
SO_isotope:ULB-ACE_ASCCC_0271.28	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_0271.29	Arm_length_R	0.023	m	
SO_isotope:ULB-ACE_ASCCC_0271.3	Arm_length_R	0.028	m	
SO_isotope:ULB-ACE_ASCCC_0271.31	Arm_length_R	0.009	m	
SO_isotope:ULB-ACE_ASCCC_0271.32	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_0271.33	Arm_length_R	0.024	m	
SO_isotope:ULB-ACE_ASCCC_0271.6	Arm_length_R	0.023	m	
SO_isotope:ULB-ACE_ASCCC_0271.7	Arm_length_R	0.039	m	
SO_isotope:ULB-ACE_ASCCC_0271.8	Arm_length_R	0.033	m	
SO_isotope:ULB-ACE_ASCCC_0271.9	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_0272.10	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_0272.11	Arm_length_R	0.024	m	
SO_isotope:ULB-ACE_ASCCC_0272.12	Arm_length_R	0.014	m	
SO_isotope:ULB-ACE_ASCCC_0272.13	Arm_length_R	0.03	m	
SO_isotope:ULB-ACE_ASCCC_0272.14	Arm_length_R	0.013	m	
SO_isotope:ULB-ACE_ASCCC_0272.15	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_0272.16	Arm_length_R	0.028	m	
SO_isotope:ULB-ACE_ASCCC_0272.17	Arm_length_R	0.029	m	
SO_isotope:ULB-ACE_ASCCC_0272.18	Arm_length_R	0.022	m	
SO_isotope:ULB-ACE_ASCCC_0272.19	Arm_length_R	0.026	m	
SO_isotope:ULB-ACE_ASCCC_0272.20	Arm_length_R	0.016	m	
SO_isotope:ULB-ACE_ASCCC_0272.21	Arm_length_R	0.032	m	
SO_isotope:ULB-ACE_ASCCC_0272.22	Arm_length_R	0.017	m	
SO_isotope:ULB-ACE_ASCCC_0272.23	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_0272.24	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_0272.25	Arm_length_R	0.021	m	
SO_isotope:ULB-ACE_ASCCC_0272.26	Arm_length_R	0.025	m	
SO_isotope:ULB-ACE_ASCCC_0272.27	Arm_length_R	0.03	m	
SO_isotope:ULB-ACE_ASCCC_0272.3	Arm_length_R	0.026	m	
SO_isotope:ULB-ACE_ASCCC_0272.4	Arm_length_R	0.026	m	
SO_isotope:ULB-ACE_ASCCC_0272.5	Arm_length_R	0.027	m	
SO_isotope:ULB-ACE_ASCCC_0272.6	Arm_length_R	0.028	m	
SO_isotope:ULB-ACE_ASCCC_0272.7	Arm_length_R	0.033	m	
SO_isotope:ULB-ACE_ASCCC_0272.8	Arm_length_R	0.029	m	
SO_isotope:ULB-ACE_ASCCC_0272.9	Arm_length_R	0.017	m	
SO_isotope:ULB-ACE_ASCCC_0313.10	Arm_length_R	0.007	m	
SO_isotope:ULB-ACE_ASCCC_0313.11	Arm_length_R	0.02	m	
SO_isotope:ULB-ACE_ASCCC_0313.8	Arm_length_R	0.021	m	
SO_isotope:ULB-ACE_ASCCC_0214.1	Arm_length_R	0.073	m	
SO_isotope:ULB-ACE_ASCCC_0607.2	Arm_length_R	0.037	m	
SO_isotope:ULB-ACE_ASCCC_0803	Arm_length_R	0.059	m	
SO_isotope:ULB-ADP_III_S153_MT1_1	Arm_length_R	0.099	m	
SO_isotope:ULB-ADP_III_S153_MT1_2	Arm_length_R	0.078	m	
SO_isotope:ULB-ADP_III_S153_MT1_4	Arm_length_R	0.047	m	
SO_isotope:ULB-ADP_III_S153_MT1_5	Arm_length_R	0.049	m	
SO_isotope:ULB-ADP_III_S57_MT4_1	Arm_length_R	0.041	m	
SO_isotope:ULB-ADP_III_S57_MT4_2	Arm_length_R	0.028	m	
SO_isotope:ULB-ADP_III_S57_MT6_1	Arm_length_R	0.124	m	
SO_isotope:ULB-ADP_III_S57_MT6_2	Arm_length_R	0.099	m	
SO_isotope:ULB-ADP_III_S57_MT6_3	Arm_length_R	0.087	m	
SO_isotope:ULB-ADP_III_S57_MT6_4	Arm_length_R	0.124	m	
SO_isotope:ULB-ADP_III_S57_MT6_5	Arm_length_R	0.113	m	
SO_isotope:ULB-ADP_III_S151_MT1_1	Arm_length_R	0.026	m	
SO_isotope:ULB-ADP_III_S151_MT1_2	Arm_length_R	0.027	m	
SO_isotope:ULB-ADP_III_S151_MT1_3	Arm_length_R	0.022	m	
SO_isotope:ULB-ADP_III_S151_MT1_4	Arm_length_R	0.026	m	
SO_isotope:ULB-ADP_III_S151_MT1_5	Arm_length_R	0.011	m	
SO_isotope:ULB-ADP_III_S74_MT4_1	Arm_length_R	0.015	m	
SO_isotope:ULB-ADP_III_S74_MT4_2	Arm_length_R	0.008	m	
SO_isotope:ULB-ADP_III_S142_MT1	Arm_length_R	0.118	m	
SO_isotope:ULB-ADP_III_S154_MT1_1	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S154_MT1_2	Arm_length_R	0.012	m	
SO_isotope:ULB-ADP_III_S154_MT1_3	Arm_length_R	0.022	m	
SO_isotope:ULB-ADP_III_S154_MT1_4	Arm_length_R	0.023	m	
SO_isotope:ULB-ADP_III_S154_MT1_5	Arm_length_R	0.018	m	
SO_isotope:ULB-ADP_III_S88_MT1_2	Arm_length_R	0.028	m	
SO_isotope:ULB-ADP_III_S94_MT2	Arm_length_R	0.02	m	
SO_isotope:ULB-ADP_III_S78_MT1_6	Arm_length_R	0.008	m	
SO_isotope:ULB-ADP_III_S153_MT6	Arm_length_R	0.019	m	
SO_isotope:ULB-ADP_III_S57_MT1_1	Arm_length_R	0.015	m	
SO_isotope:ULB-ADP_III_S57_MT1_2	Arm_length_R	0.022	m	
SO_isotope:ULB-ADP_III_S57_MT1_3	Arm_length_R	0.024	m	
SO_isotope:ULB-ADP_III_S57_MT1_4	Arm_length_R	0.022	m	
SO_isotope:ULB-ADP_III_S57_MT1_5	Arm_length_R	0.018	m	
SO_isotope:ULB-ADP_III_S57_MT1_7	Arm_length_R	0.02	m	
SO_isotope:ULB-ADP_III_S59_MT1_1	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_III_S59_MT1_2	Arm_length_R	0.02	m	
SO_isotope:ULB-ADP_III_S59_MT1_3	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S78_MT1_1	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S78_MT1_2	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S78_MT1_3	Arm_length_R	0.028	m	
SO_isotope:ULB-ADP_III_S78_MT1_4	Arm_length_R	0.008	m	
SO_isotope:ULB-ADP_III_S78_MT1_5	Arm_length_R	0.018	m	
SO_isotope:ULB-ADP_III_S59_MT2	Arm_length_R	0	m	
SO_isotope:ULB-ADP_III_S102_MT2	Arm_length_R	0	m	
SO_isotope:ULB-ADP_III_S154_MT2	Arm_length_R	0.107	m	
SO_isotope:ULB-ADP_III_S153_MT3	Arm_length_R	0.025	m	
SO_isotope:ULB-ADP_III_S154_MT3	Arm_length_R	0.016	m	
SO_isotope:ULB-ADP_III_S57_MT1_6	Arm_length_R	0.007	m	
SO_isotope:ULB-ADP_III_S57_MT2_1	Arm_length_R	0.024	m	
SO_isotope:ULB-ADP_III_S57_MT2_10	Arm_length_R	0.042	m	
SO_isotope:ULB-ADP_III_S57_MT2_2	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S57_MT2_3	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S57_MT2_4	Arm_length_R	0.018	m	
SO_isotope:ULB-ADP_III_S57_MT2_5	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_III_S57_MT2_6	Arm_length_R	0.015	m	
SO_isotope:ULB-ADP_III_S57_MT2_7	Arm_length_R	0.014	m	
SO_isotope:ULB-ADP_III_S57_MT2_8	Arm_length_R	0.016	m	
SO_isotope:ULB-ADP_III_S57_MT2_9	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S78_MT1B	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_III_S74_MT2	Arm_length_R	0.202	m	
SO_isotope:ULB-ADP_III_S57_MT3	Arm_length_R	0.02	m	
SO_isotope:ULB-ADP_III_S94_MT1	Arm_length_R	0.026	m	
SO_isotope:ULB-ADP_III_S142_MT3_1	Arm_length_R	0.02	m	
SO_isotope:ULB-ADP_III_S142_MT3_2	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S142_MT3_3	Arm_length_R	0.028	m	
SO_isotope:ULB-ADP_III_S142_MT3_4	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_III_S142_MT3_5	Arm_length_R	0.02	m	
SO_isotope:ULB-ADP_III_S142_MT3_6	Arm_length_R	0.021	m	
SO_isotope:ULB-ADP_III_S142_MT3_7	Arm_length_R	0.02	m	
SO_isotope:ULB-ADP_III_S142_MT3_8	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_III_S142_MT3_9	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_III_S154_MT4_1	Arm_length_R	0.013	m	
SO_isotope:ULB-ADP_III_S154_MT4_2	Arm_length_R	0.004	m	
SO_isotope:ULB-ADP_III_S154_MT4_3	Arm_length_R	0.011	m	
SO_isotope:ULB-ADP_III_S154_MT5_1	Arm_length_R	0.034	m	
SO_isotope:ULB-ADP_III_S154_MT5_3	Arm_length_R	0.026	m	
SO_isotope:ULB-ADP_III_S154_MT5_4	Arm_length_R	0.015	m	
SO_isotope:ULB-ADP_III_S74_MT1	Arm_length_R	0.152	m	
SO_isotope:ULB-ADP_III_S81_MT1_1	Arm_length_R	0	m	
SO_isotope:ULB-ADP_III_S81_MT1_2	Arm_length_R	0.024	m	
SO_isotope:ULB-ADP_III_S154_MT5_2	Arm_length_R	0.042	m	
SO_isotope:ULB-ADP_III_S74_MT5_1	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_III_S74_MT5_2	Arm_length_R	0.026	m	
SO_isotope:ULB-ADP_III_S21_MT7	Arm_length_R	0.004	m	
SO_isotope:ULB-ADP_III_S142_MT2	Arm_length_R	0.043	m	
SO_isotope:ULB-ADP_III_S121_MT1	Arm_length_R	0.122	m	
SO_isotope:ULB-ADP_III_S121_MT2_1	Arm_length_R	0.011	m	
SO_isotope:ULB-ADP_III_S57_MT5	Arm_length_R	0.02	m	
SO_isotope:ULB-ADP_III_S78_MT4	Arm_length_R	0.019	m	
SO_isotope:ULB-ADP_III_S94_MT3	Arm_length_R	0.018	m	
SO_isotope:ULB-ADP_III_S74_MT3	Arm_length_R	0.03	m	
SO_isotope:ULB-ADP_SYST_48_01_D2	Arm_length_R	0.023	m	
SO_isotope:ULB-ADP_SYST_48_01_D1	Arm_length_R	0.018	m	
SO_isotope:ULB-ADP_SYST_48_01_C1	Arm_length_R	0.008	m	
SO_isotope:ULB-ADP_SYST_48_01_C2	Arm_length_R	0.016	m	
SO_isotope:ULB-ADP_SYST_48_01_C3	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_SYST_48_01_L	Arm_length_R	0.008	m	
SO_isotope:ULB-ADP_SYST_48_01_N2	Arm_length_R	0.006	m	
SO_isotope:ULB-ADP_SYST_48_01_K1	Arm_length_R	0.019	m	
SO_isotope:ULB-ADP_SYST_48_01_K2	Arm_length_R	0.01	m	
SO_isotope:ULB-ADP_SYST_48_01_K3	Arm_length_R	0.025	m	
SO_isotope:ULB-ADP_SYST_48_01_K4	Arm_length_R	0.018	m	
SO_isotope:ULB-ADP_SYST_33_14_B6	Arm_length_R	0.016	m	
SO_isotope:ULB-ADP_SYST_33_14_B7	Arm_length_R	0.017	m	
SO_isotope:ULB-ADP_SYST_33_14_B8	Arm_length_R	0.007	m	
SO_isotope:ULB-ADP_SYST_33_14_B9	Arm_length_R	0.012	m	
SO_isotope:ULB-ADP_SYST_33_14_C2	Arm_length_R	0.007	m	
SO_isotope:ULB-ADP_SYST_48_01_V1	Arm_length_R	0.031	m	
SO_isotope:ULB-ADP_SYST_48_01_V10	Arm_length_R	0.005	m	
SO_isotope:ULB-ADP_SYST_48_01_V11	Arm_length_R	0.003	m	
SO_isotope:ULB-ADP_SYST_48_01_V12	Arm_length_R	0.012	m	
SO_isotope:ULB-ADP_SYST_48_01_V2	Arm_length_R	0.008	m	
SO_isotope:ULB-ADP_SYST_48_01_V3	Arm_length_R	0.008	m	
SO_isotope:ULB-ADP_SYST_48_01_V4	Arm_length_R	0.004	m	
SO_isotope:ULB-ADP_SYST_48_01_V5	Arm_length_R	0.004	m	
SO_isotope:ULB-ADP_SYST_48_01_V6	Arm_length_R	0.009	m	
SO_isotope:ULB-ADP_SYST_48_01_V7	Arm_length_R	0.007	m	
SO_isotope:ULB-ADP_SYST_48_01_V8	Arm_length_R	0.003	m	
SO_isotope:ULB-ADP_SYST_48_01_V9	Arm_length_R	0.005	m	
SO_isotope:ULB-ADP_SYST_33_14_A1	Arm_length_R	0.085	m	
SO_isotope:ULB-ADP_SYST_33_14_B5	Arm_length_R	0.009	m	
SO_isotope:ULB-ADP_SYST_33_14_D1	Arm_length_R	0.002	m	
SO_isotope:ULB-ADP_SYST_33_14_D2	Arm_length_R	0.003	m	
SO_isotope:ULB-ADP_SYST_33_14_E1	Arm_length_R	0.029	m	
SO_isotope:ULB-ADP_SYST_33_14_E2	Arm_length_R	0.026	m	
SO_isotope:ULB-ADP_SYST_33_14_E4	Arm_length_R	0.032	m	
SO_isotope:ULB-ADP_SYST_33_14_E5	Arm_length_R	0.035	m	
SO_isotope:ULB-ADP_SYST_33_14_E6	Arm_length_R	0.032	m	
SO_isotope:ULB-ADP_SYST_48_01_O1	Arm_length_R	0.003	m	
SO_isotope:ULB-ADP_SYST_48_01_O2	Arm_length_R	0.008	m	
SO_isotope:ULB-ADP_SYST_48_01_F	Arm_length_R	0.029	m	
SO_isotope:ULB-ADP_SYST_48_01_B	Arm_length_R	0.033	m	
SO_isotope:ULB-ADP_SYST_48_01_E1	Arm_length_R	0.055	m	
SO_isotope:ULB-ADP_SYST_48_01_E3	Arm_length_R	0.045	m	
SO_isotope:ULB-ADP_SYST_48_01_U1	Arm_length_R	0.005	m	
